# Telescope:  LTRT
# Description: 2.4m parabolic C-Band antenna
# Location: Glenorie, NSW, Australia
# Coordinates: 151.008 E, 33.5959 S
# Mode: cal
# Centre frequency:  3700 MHz
# Sample time (ms): 10
# Receiver Gain (dB): 5
# Observation length (s): 7200
# Local Time start:  Fri Feb 22 20:53:09 2013
# UTC start:  Fri Feb 22 09:53:09 2013
# LST start (hh:mm:ss):  06:07:01
# Source: no_lnb
# Declination (degrees): -33.6
1.36509 29.6025
1.36648 29.82
1.36787 29.6
1.36926 29.6275
1.37064 29.5575
1.37203 29.7775
1.37341 29.6425
1.3748 29.8725
1.37619 29.9475
1.37758 29.8925
1.37896 30.1
1.38035 29.635
1.38173 29.73
1.38312 29.615
1.38451 29.89
1.38589 29.72
1.38728 29.525
1.38867 29.4625
1.39006 29.94
1.39144 29.5925
1.39283 29.3825
1.39421 29.785
1.3956 29.5925
1.39699 29.475
1.39838 29.36
1.39976 30.0525
1.40115 29.61
1.40253 29.765
1.40392 29.42
1.40531 29.8325
1.40669 29.7975
1.40808 29.9175
1.40947 29.87
1.41086 29.69
1.41224 29.5825
1.41363 29.84
1.41501 29.6725
1.4164 29.785
1.41779 29.3
1.41918 29.89
1.42056 29.7
1.42195 29.66
1.42333 29.435
1.42472 29.4725
1.42611 29.72
1.42749 29.6575
1.42888 29.7925
1.43027 29.5875
1.43166 29.635
1.43304 29.6325
1.43443 29.4775
1.43581 29.4975
1.4372 29.81
1.43859 29.7325
1.43998 29.8125
1.44136 29.7975
1.44275 29.53
1.44413 29.6425
1.44552 29.795
1.44691 29.8525
1.44829 29.5625
1.44968 29.7675
1.45107 29.89
1.45246 29.675
1.45384 29.39
1.45523 30.055
1.45661 29.5375
1.458 29.7525
1.45939 29.58
1.46078 29.4625
1.46216 29.5875
1.46355 29.6875
1.46493 29.5875
1.46632 29.575
1.46771 29.6875
1.46909 29.725
1.47048 30.0725
1.47187 29.425
1.47326 29.4375
1.47464 29.4725
1.47603 29.8325
1.47741 29.925
1.4788 29.825
1.48019 29.6525
1.48158 29.41
1.48296 29.4825
1.48435 29.75
1.48573 29.4775
1.48712 29.7475
1.48851 29.965
1.48989 29.7225
1.49128 30.04
1.49267 29.4775
1.49406 29.4975
1.49544 29.7175
1.49683 29.63
1.49821 29.6375
1.4996 29.6775
1.50099 29.85
1.50238 29.7775
1.50376 29.63
1.50515 29.4225
1.50653 29.65
1.50792 29.535
1.50931 29.65
1.51069 29.815
1.51208 29.9375
1.51347 29.735
1.51486 29.5
1.51624 29.6025
1.51763 29.81
1.51901 29.8525
1.5204 29.6175
1.52179 29.815
1.52318 29.61
1.52456 29.6175
1.52595 29.76
1.52733 29.625
1.52872 29.5975
1.53011 29.7225
1.53149 29.6775
1.53288 29.72
1.53427 29.925
1.53566 29.8525
1.53704 29.65
1.53843 29.765
1.53981 29.7825
1.5412 29.805
1.54259 29.895
1.54397 29.595
1.54536 29.7175
1.54675 29.6225
1.54813 29.8175
1.54952 29.7575
1.55091 29.7825
1.55229 29.79
1.55368 29.555
1.55507 29.76
1.55646 29.86
1.55784 29.56
1.55923 29.7
1.56061 29.68
1.562 29.745
1.56339 29.7175
1.56477 29.7625
1.56616 29.78
1.56755 29.805
1.56893 29.6725
1.57032 29.77
1.57171 29.7125
1.57309 29.8775
1.57448 29.6
1.57587 29.7925
1.57726 29.8325
1.57864 29.795
1.58003 29.65
1.58141 29.88
1.5828 29.745
1.58419 29.7125
1.58557 29.7025
1.58696 29.7
1.58835 29.635
1.58973 29.6325
1.59112 29.64
1.59251 29.6725
1.59389 29.735
1.59528 29.6925
1.59667 29.705
1.59806 29.7375
1.59944 29.8225
1.60083 30.0675
1.60221 29.8325
1.6036 29.69
1.60499 29.7475
1.60637 29.77
1.60776 29.86
1.60915 29.6775
1.61053 29.7225
1.61192 29.76
1.61331 29.7275
1.61469 29.8725
1.61608 29.7025
1.61747 29.74
1.61886 29.8225
1.62024 29.6
1.62163 29.7875
1.62301 29.6725
1.6244 29.655
1.62579 29.8175
1.62717 29.7825
1.62856 29.7625
1.62995 29.5725
1.63133 29.6775
1.63272 29.83
1.63411 29.6375
1.63549 29.735
1.63688 29.7975
1.63827 29.825
1.63966 29.7325
1.64104 29.8375
1.64243 29.79
1.64381 29.6375
1.6452 29.58
1.64659 29.8125
1.64797 29.745
1.64936 29.51
1.65075 30.135
1.65213 29.99
1.65352 29.75
1.65491 29.775
1.65629 29.8375
1.65768 29.735
1.65907 29.7675
1.66046 29.885
1.66184 29.7625
1.66323 29.935
1.66461 29.8425
1.666 29.9225
1.66739 29.7025
1.66877 29.8925
1.67016 29.83
1.67155 29.8175
1.67293 30.03
1.67432 29.9125
1.67571 29.7175
1.67709 29.66
1.67848 29.675
1.67987 30.045
1.68126 29.8575
1.68264 29.895
1.68403 29.9075
1.68541 30.085
1.6868 29.9775
1.68819 29.825
1.68957 29.9575
1.69096 30.1025
1.69235 29.86
1.69373 29.84
1.69512 29.7625
1.69651 29.7675
1.69789 29.7825
1.69928 29.7425
1.70067 29.9425
1.70206 29.8125
1.70344 29.925
1.70483 29.7975
1.70621 29.8075
1.7076 29.85
1.70899 29.7725
1.71037 29.82
1.71176 29.875
1.71315 29.825
1.71453 29.725
1.71592 29.8375
1.71731 29.8725
1.71869 29.875
1.72008 29.7775
1.72147 29.96
1.72286 29.805
1.72424 30.0225
1.72563 29.66
1.72701 29.815
1.7284 29.8425
1.72979 29.8225
1.73117 29.745
1.73256 29.8475
1.73395 29.6275
1.73533 29.8625
1.73672 30.005
1.73811 29.8075
1.73949 29.9775
1.74088 29.66
1.74227 30.0575
1.74366 29.6025
1.74504 29.8725
1.74643 29.765
1.74781 29.775
1.7492 29.8225
1.75059 29.755
1.75198 29.7525
1.75336 29.72
1.75475 29.71
1.75613 29.63
1.75752 29.725
1.75891 29.59
1.76029 29.6775
1.76168 29.7875
1.76307 29.87
1.76446 29.7475
1.76584 29.705
1.76723 29.71
1.76861 29.625
1.77 29.585
1.77139 29.6475
1.77278 29.5325
1.77416 29.6375
1.77555 29.8725
1.77693 29.855
1.77832 29.6125
1.77971 29.7025
1.78109 29.67
1.78248 29.55
1.78387 29.71
1.78526 29.56
1.78664 29.4925
1.78803 29.35
1.78941 29.395
1.7908 29.52
1.79219 29.925
1.79358 29.12
1.79496 29.4625
1.79635 29.4175
1.79773 29.5925
1.79912 29.9125
1.80051 29.5
1.80189 29.5825
1.80328 29.6125
1.80467 29.5475
1.80606 29.5575
1.80744 29.5725
1.80883 29.5575
1.81021 29.585
1.8116 29.445
1.81299 29.425
1.81438 29.5775
1.81576 29.61
1.81715 29.5425
1.81853 29.465
1.81992 29.565
1.82131 29.64
1.82269 29.5475
1.82408 29.435
1.82547 29.7725
1.82686 29.565
1.82824 29.525
1.82963 29.5925
1.83101 29.6175
1.8324 29.5625
1.83379 29.6525
1.83518 29.4475
1.83656 29.6175
1.83795 29.4675
1.83933 29.62
1.84072 29.3
1.84211 29.54
1.84349 29.525
