# Telescope:  LTRT
# Description: 2.4m parabolic C-Band antenna
# Location: Glenorie, NSW, Australia
# Coordinates: 151.008 E, 33.5959 S
# Mode: cal
# Centre frequency:  3700 MHz
# Sample time (ms): 10
# Receiver Gain (dB): 5
# Observation length (s): 7200
# Local Time start:  Sat Feb 23 10:40:34 2013
# UTC start:  Fri Feb 22 23:40:34 2013
# LST start (hh:mm:ss):  19:56:42
# Source: no_rx
# Declination (degrees): -33.6
0.744564 164.12
0.746067 164.565
0.747569 164.36
0.749072 164.515
0.750575 164.298
0.752075 166.098
0.753578 165.867
0.755081 166.125
0.756583 165.523
0.758086 166.045
0.759586 165.725
0.761089 166.188
0.762592 166.08
0.764094 166.36
0.765597 165.887
0.767097 166.402
0.7686 165.932
0.770103 166.318
0.771606 165.822
0.773108 166.03
0.774608 166.193
0.776111 166.105
0.777614 165.602
0.779117 165.45
0.780619 164.3
0.782119 164.827
0.783622 164.232
0.785125 164.883
0.786628 164.635
0.788131 164.75
0.789631 164.788
0.791133 164.255
0.792636 164.318
0.794139 164.217
0.795642 164.723
0.797142 164.583
0.798644 164.71
0.800147 164.375
0.80165 164.827
0.803153 163.992
0.804653 164.378
0.806156 164.408
0.807658 166.092
0.809161 165.345
0.810664 166.075
0.812164 166.027
0.813667 166.048
0.815169 165.652
0.816672 166.82
0.818175 166.212
0.819675 166.73
0.821178 166.05
0.822681 166.512
0.824183 165.935
0.825686 166.307
0.827186 166.232
0.828689 166.258
0.830192 165.727
0.831694 166.533
0.833197 165.68
0.834697 165.107
0.8362 164.78
0.837703 164.742
0.839206 164.827
0.840708 164.497
0.842208 164.878
0.843711 165.027
0.845214 164.805
0.846717 164.917
0.848219 165.212
0.849722 164.872
0.851222 165.092
0.852725 164.72
0.854228 165.312
0.855731 164.515
0.857231 165.652
0.858733 165.033
0.860236 165.352
0.861739 165.2
0.863242 166.688
0.864742 166.52
0.866244 166.875
0.867747 166.285
0.86925 166.875
0.870753 166.417
0.872253 166.753
0.873756 166.212
0.875258 166.51
0.876761 166.133
0.878264 166.438
0.879764 166.21
0.881267 166.553
0.882769 166.855
0.884272 166.363
0.885775 166.848
0.887275 166.423
0.888778 166.8
0.890281 165.048
0.891783 165.307
0.893286 164.66
0.894786 164.898
0.896289 164.607
0.897792 164.977
0.899294 164.538
0.900797 164.938
0.902297 164.65
0.9038 164.995
0.905303 164.655
0.906806 165.452
0.908308 164.6
0.909808 164.908
0.911311 164.715
0.912814 165.023
0.914317 165.07
0.915819 164.883
0.917319 165.092
0.918822 166.28
0.920325 166.165
0.921828 166.085
0.923331 166.538
0.924831 166.19
0.926333 166.542
0.927836 165.827
0.929339 166.693
0.930842 165.602
0.932342 166.253
0.933844 165.637
0.935347 166.428
0.93685 165.89
0.938353 166.48
0.939853 165.875
0.941356 166.227
0.942858 165.693
0.944361 166.535
0.945864 165.048
0.947364 164.64
0.948867 164.633
0.950369 164.773
0.951872 164.997
0.953375 164.575
0.954875 165.077
0.956378 164.9
0.957881 165.148
0.959383 164.577
0.960886 164.902
0.962386 164.587
0.963889 165.215
0.965392 164.605
0.966894 165.057
0.968397 164.727
0.969897 165.402
0.9714 164.878
0.972903 165.77
0.974406 166.37
0.975908 166.265
0.977408 166.585
0.978911 166.575
0.980414 166.223
0.981917 166.58
0.983419 166.812
0.984919 166.148
0.986422 166.305
0.987925 166.538
0.989428 166.5
0.990931 166.117
0.992431 166.268
0.993933 166.553
0.995436 166.445
0.996939 165.973
0.998442 166.72
0.999942 166.178
1.00144 165.85
1.00295 164.732
1.00445 165.117
1.00595 164.648
1.00745 165.087
1.00896 165.09
1.01046 164.773
1.01196 165.29
1.01346 164.45
1.01496 164.87
1.01647 164.773
1.01797 165.13
1.01947 164.577
1.02097 165.36
1.02248 164.527
1.02398 165.107
1.02548 164.34
1.02698 165.003
1.02849 165.2
1.02999 166.47
1.03149 166.188
1.03299 166.458
1.03449 165.845
1.036 166.452
1.0375 166.143
1.039 166.005
1.0405 166.73
1.04201 166.515
1.04351 166.6
1.04501 165.908
1.04651 166.158
1.04801 165.91
1.04952 166.182
1.05102 165.875
1.05252 166.63
1.05402 165.85
1.05552 166.062
1.05703 164.408
1.05853 164.915
1.06003 164.827
1.06153 164.753
1.06304 164.842
1.06454 164.385
1.06604 164.708
1.06754 164.318
1.06904 164.908
1.07055 164.3
1.07205 165.175
1.07355 164.465
1.07505 165.615
1.07656 164.443
1.07806 164.91
1.07956 164.75
1.08106 165.217
1.08256 164.492
1.08407 165.387
1.08557 166
1.08707 166.075
1.08858 166.133
1.09008 165.81
1.09158 165.97
1.09308 165.825
1.09458 166.402
1.09609 165.943
1.09759 166.9
1.09909 166.107
1.10059 166.283
1.10209 165.795
1.1036 166.44
1.1051 166.197
1.1066 166.415
1.1081 166.485
1.10961 166.318
1.11111 166.54
1.11261 165.02
1.11411 165.185
1.11561 164.652
1.11712 165.018
1.11862 164.31
1.12012 164.745
1.12162 164.36
1.12312 164.643
1.12463 164.475
1.12613 164.633
1.12763 164.58
1.12913 164.92
1.13064 164.652
1.13214 164.485
1.13364 164.565
1.13514 164.357
1.13664 164.962
1.13815 164.44
1.13965 165.273
1.14115 165.992
1.14265 166.242
1.14416 165.807
1.14566 166.43
1.14716 165.655
1.14866 166.475
1.15017 165.93
1.15167 166.182
1.15317 165.697
1.15467 166.048
1.15618 166.45
1.15768 165.747
1.15918 166.16
1.16068 166.083
1.16218 166.575
1.16369 165.857
1.16519 166.977
1.16669 166.09
1.16819 165.155
1.16969 164.275
1.1712 164.738
1.1727 164.148
1.1742 164.865
1.1757 164.41
1.17721 164.613
1.17871 165.387
1.18021 164.115
1.18171 164.943
1.18321 164.67
1.18472 165.1
1.18622 164.467
1.18772 165.122
1.18922 164.337
1.19072 164.952
1.19223 164.59
1.19373 165.165
1.19523 165.062
1.19673 166.212
1.19824 166.335
1.19974 165.988
1.20124 166.435
1.20274 166.107
1.20424 166.693
1.20575 165.938
1.20725 166.525
1.20875 166.15
1.21025 166.923
1.21176 166.275
1.21326 166.855
1.21476 166.318
1.21626 166.575
1.21776 166.705
1.21927 166.52
1.22077 166.863
1.22227 166.087
1.22378 165.425
1.22528 164.81
1.22678 165.37
1.22828 164.822
1.22978 164.967
1.23129 164.75
1.23279 165.29
1.23429 164.658
1.23579 164.97
1.23729 165.2
1.2388 164.54
1.2403 165.173
1.2418 164.732
1.2433 165.51
1.24481 164.725
1.24631 165.365
1.24781 165.062
1.24931 165.133
1.25081 164.863
1.25232 166.408
1.25382 165.738
1.25532 165.917
1.25682 166.07
1.25832 165.96
1.25983 166.477
1.26133 165.92
1.26283 166.36
1.26433 166.322
1.26584 166.673
1.26734 166.107
1.26884 166.447
1.27034 166.327
1.27184 166.447
1.27335 165.915
1.27485 166.095
1.27635 166.447
1.27785 165.87
1.27936 165.26
1.28086 164.402
1.28236 165.322
1.28386 164.625
1.28536 164.97
1.28687 165.045
1.28837 165.1
1.28987 164.645
1.29138 164.872
1.29288 165.165
1.29438 164.508
1.29588 165.523
1.29738 164.602
1.29889 165.443
1.30039 164.438
1.30189 164.995
1.30339 164.705
1.30489 165.727
1.3064 165.443
1.3079 166.833
1.3094 166.5
1.3109 166.837
1.31241 166.675
1.31391 166.667
1.31541 167.117
1.31691 166.908
1.31841 167.51
1.31992 166.242
1.32142 167.012
1.32292 166.06
1.32442 167.025
1.32592 166.932
1.32743 166.87
1.32893 166.688
1.33043 166.622
1.33193 167.035
1.33344 166.375
1.33494 165.715
1.33644 164.99
1.33794 165.69
1.33944 164.902
1.34095 165.345
1.34245 165.038
1.34395 165.18
1.34545 165.447
1.34696 165.327
1.34846 165.708
1.34996 165.01
1.35146 165.545
1.35296 164.9
1.35447 165.635
1.35597 164.97
1.35747 165.73
1.35898 165.355
1.36047 165.07
1.36198 166.087
1.36348 166.622
1.36498 167.1
1.36649 166.525
1.36799 167.337
1.36949 166.598
1.37099 166.967
1.37249 166.33
1.374 166.818
1.3755 166.47
1.377 166.762
1.3785 166.928
1.38001 166.8
1.38151 167.055
1.38301 166.497
1.38451 167.527
1.38601 166.38
1.38752 167.115
1.38902 166.785
1.39052 165.928
1.39202 165.67
1.39353 165.268
1.39503 166.098
1.39653 165.077
1.39803 165.637
1.39953 165.137
1.40104 165.685
1.40254 165.52
1.40404 165.548
1.40554 165.135
1.40704 165.255
1.40855 165.395
1.41005 165.01
1.41155 165.62
1.41305 165.057
1.41456 165.572
1.41606 164.715
1.41756 165.515
1.41906 165.962
1.42057 166.807
1.42207 166.455
1.42357 165.943
1.42507 166.76
1.42657 165.887
1.42807 166.845
1.42958 166.36
1.43108 166.812
1.43258 166.398
1.43409 166.665
1.43559 166.21
1.43709 166.53
1.43859 166.685
1.44009 165.928
1.4416 166.79
1.4431 166.315
1.4446 166.818
1.4461 164.702
1.44761 165.447
1.44911 164.617
1.45061 165.143
1.45211 164.943
1.45361 165.273
1.45512 165.327
1.45662 164.878
1.45812 165.025
1.45962 164.87
1.46113 165.322
1.46263 164.893
1.46413 165.113
1.46563 165.025
1.46713 164.825
1.46864 164.663
1.47014 165.09
1.47164 165.592
1.47314 165.247
1.47464 166.122
1.47615 166.262
1.47765 166.52
1.47915 165.747
1.48065 166.327
1.48216 166.417
1.48366 166.352
1.48516 166.673
1.48666 165.845
1.48816 166.477
1.48967 166.1
1.49117 166.435
1.49267 166.13
1.49417 166.538
1.49567 166.11
1.49718 166.185
1.49868 166.852
1.50018 166.312
1.50169 165.503
1.50319 164.613
1.50469 165.235
1.50619 164.803
1.50769 165.643
1.5092 165.15
1.5107 165.238
1.5122 165.595
1.5137 165.143
1.51521 165.455
1.51671 164.992
1.51821 165.44
1.51971 164.988
1.52121 165.443
1.52272 165.348
1.52422 165.295
1.52572 165.622
1.52722 164.977
1.52873 166.175
1.53023 166.432
1.53173 166.93
1.53323 166.367
1.53473 166.96
1.53624 166.773
1.53774 166.738
1.53924 167.28
1.54074 166.495
1.54224 166.29
1.54375 166.13
1.54525 166.783
1.54675 166.113
1.54825 166.95
1.54976 166.31
1.55126 166.37
1.55276 166.775
1.55426 166.08
1.55576 166.827
1.55727 164.915
1.55877 165.625
1.56027 164.8
1.56177 165.592
1.56327 165.15
1.56478 164.913
1.56628 165.7
1.56778 164.82
1.56929 165.48
1.57079 164.86
1.57229 165.628
1.57379 165.025
1.57529 164.985
1.5768 165.202
1.5783 165.095
1.5798 165.45
1.5813 164.803
1.58281 165.775
1.58431 165.438
1.58581 166.923
1.58731 166.33
1.58881 166.178
1.59032 166.822
1.59182 166.225
1.59332 166.863
1.59482 166.333
1.59633 166.855
1.59783 166.42
1.59933 166.807
1.60083 166.732
1.60233 166.505
1.60384 167.17
1.60534 166.747
1.60684 167.077
1.60834 166.585
1.60984 167.06
1.61135 166.355
1.61285 165.068
1.61435 164.845
1.61585 164.527
1.61736 165.697
1.61886 165.048
1.62036 165.45
1.62186 165.092
1.62336 165.795
1.62487 164.708
1.62637 165.115
1.62787 165.635
1.62937 164.982
1.63087 165.548
1.63238 164.592
1.63388 164.977
1.63538 164.997
1.63689 165.283
1.63839 164.798
1.63989 166.125
1.64139 167.06
1.64289 166.178
1.6444 166.742
1.6459 166.615
1.6474 167.253
1.6489 166.32
1.65041 166.865
1.65191 166.402
1.65341 166.038
1.65491 167.03
1.65641 166.617
1.65792 166.915
1.65942 166.18
1.66092 166.85
1.66242 165.91
1.66393 166.527
1.66543 166.55
1.66693 166.375
1.66843 165.395
1.66993 164.807
1.67144 165.255
1.67294 164.585
1.67444 165.39
1.67594 164.837
1.67744 164.72
1.67895 165.285
1.68045 164.592
1.68195 165.175
1.68345 164.405
1.68496 164.755
1.68646 164.415
1.68796 164.633
1.68946 164.872
1.69096 163.898
1.69247 164.81
1.69397 164.098
1.69547 165.857
1.69697 165.762
1.69848 166.245
1.69998 166.16
1.70148 165.575
1.70298 166.633
1.70449 165.3
1.70599 166.628
1.70749 165.66
1.70899 166.152
1.71049 165.488
1.712 166.155
1.7135 166.265
1.715 165.717
1.7165 166.2
1.71801 165.477
1.71951 166.542
1.72101 165.575
1.72251 166.018
1.72401 164.923
1.72552 164.43
1.72702 165.133
1.72852 164.405
1.73002 164.73
1.73152 164.315
1.73303 164.805
1.73453 164.372
1.73603 164.34
1.73753 165.14
1.73904 164.075
1.74054 165.15
1.74204 164.402
1.74354 165.035
1.74504 164.4
1.74655 164.8
1.74805 164.973
1.74955 164.555
1.75105 166.2
1.75256 166.17
1.75406 166.775
1.75556 165.982
1.75706 166.432
1.75856 166.477
1.76007 166.352
1.76157 166.41
1.76307 165.635
1.76458 166.68
1.76608 165.678
1.76758 166.075
1.76908 165.777
1.77058 166.1
1.77209 166.49
1.77359 165.562
1.77509 166.423
1.77659 165.98
1.77809 165.985
1.7796 164.447
1.7811 164.488
1.7826 164.77
1.7841 164.255
1.78561 165.247
1.78711 164.415
1.78861 164.732
1.79011 164.238
1.79161 164.587
1.79312 164.663
1.79462 164.15
1.79612 165.07
1.79762 164.322
1.79912 165.042
1.80063 163.913
1.80213 164.538
1.80363 164.52
1.80513 164.413
1.80664 165.667
1.80814 165.63
1.80964 166.275
1.81114 165.617
1.81264 166.223
1.81415 166.038
1.81565 165.753
1.81715 166.435
1.81865 166.16
1.82016 166.76
1.82166 165.39
1.82316 166.117
1.82466 166.247
1.82616 165.708
1.82767 166.95
1.82917 165.785
1.83067 166.73
1.83218 165.96
1.83368 166.4
1.83518 164.74
1.83668 164.398
1.83818 164.812
1.83969 164.423
1.84119 165.265
1.84269 164.565
1.84419 165.268
1.84569 164.635
1.8472 164.815
1.8487 165.51
1.8502 164.74
1.8517 165.195
1.85321 164.688
1.85471 165.085
1.85621 164.545
1.85771 164.527
1.85921 165.273
1.86072 164.665
1.86222 166.467
1.86372 165.988
1.86522 166.492
1.86672 165.79
1.86823 166.12
1.86973 166.908
1.87123 166.102
1.87273 166.71
1.87424 166.185
1.87574 166.74
1.87724 166.352
1.87874 166.625
1.88024 166.445
1.88175 166.08
1.88325 166.992
1.88475 166.16
1.88625 166.188
1.88776 165.727
1.88926 165.42
1.89076 165.025
1.89226 164.337
1.89376 164.788
1.89527 164.21
1.89677 164.872
1.89827 164.535
1.89978 164.495
1.90128 165.053
1.90278 164.232
1.90428 165.163
1.90578 164.205
1.90729 165.057
1.90879 164.617
1.91029 164.25
1.91179 165.26
1.91329 164.688
1.9148 165.258
1.9163 164.268
1.9178 165.78
1.9193 166.378
1.92081 166.283
1.92231 166.37
1.92381 166.37
1.92531 166.99
1.92681 166.068
1.92832 166.833
1.92982 166.63
1.93132 166.09
1.93282 166.855
1.93432 165.947
1.93583 166.928
1.93733 165.84
1.93883 166.742
1.94033 166.33
1.94184 166.402
1.94334 166.602
1.94484 165.637
1.94634 165.352
1.94784 164.202
1.94935 164.898
1.95085 165.117
1.95235 164.788
1.95385 165.092
1.95536 164.585
1.95686 165.475
1.95836 164.07
1.95986 164.693
1.96136 165.295
1.96287 164.66
1.96437 165.473
1.96587 164.387
1.96738 165.083
1.96888 164.43
1.97038 164.827
1.97188 165.283
1.97338 165.36
1.97489 166.61
1.97639 165.913
1.97789 166.875
1.97939 166.25
1.98089 166.6
1.9824 166.62
1.9839 166.185
1.9854 165.973
1.9869 165.86
1.98841 166.015
1.98991 165.715
1.99141 165.37
1.99291 166.273
1.99441 165.688
1.99592 166.303
