# Telescope:  LTRT
# Description: 2.4m parabolic C-Band antenna
# Location: Glenorie, NSW, Australia
# Coordinates: 151.008 E, 33.5959 S
# Mode: cal
# Centre frequency:  3700 MHz
# Sample time (ms): 10
# Receiver Gain (dB): 5
# Observation length (s): 7200
# Local Time start:  Sat Feb 23 13:20:43 2013
# UTC start:  Sat Feb 23 02:20:43 2013
# LST start (hh:mm:ss):  22:37:17
# Source: no_lnb
# Declination (degrees): -33.6
0.706422 56.23
0.707808 56.2725
0.709194 56.6275
0.710581 56.5
0.711969 56.3225
0.713356 56.39
0.714742 56.535
0.716128 56.41
0.717514 56.71
0.718903 56.5375
0.720289 56.5925
0.721675 56.4325
0.723061 56.32
0.724447 56.3125
0.725836 56.3075
0.727222 56.4575
0.728608 56.6375
0.729994 56.3875
0.731381 56.2075
0.732769 56.3425
0.734156 56.3725
0.735542 56.3625
0.736928 56.4225
0.738314 56.4675
0.739703 56.365
0.741089 56.695
0.742475 56.2925
0.743861 56.4525
0.745247 56.46
0.746636 56.5025
0.748022 56.5925
0.749408 56.525
0.750794 56.68
0.752181 56.5175
0.753569 56.28
0.754956 56.3825
0.756342 56.73
0.757728 56.425
0.759114 56.22
0.760503 56.3775
0.761889 56.2575
0.763275 56.52
0.764661 56.1675
0.766047 56.53
0.767436 56.6175
0.768822 56.3425
0.770208 56.7475
0.771594 56.5675
0.772981 56.6825
0.774369 56.4175
0.775756 56.49
0.777142 56.485
0.778528 56.4325
0.779914 56.45
0.781303 56.6675
0.782689 56.0625
0.784075 56.5125
0.785461 56.31
0.786847 56.395
0.788236 56.565
0.789622 56.615
0.791008 56.5525
0.792394 56.505
0.793781 56.415
0.795169 56.64
0.796556 56.445
0.797942 56.365
0.799328 56.5025
0.800714 56.4775
0.802103 56.6475
0.803489 56.28
0.804875 56.4275
0.806261 56.3125
0.807647 56.62
0.809036 56.5325
0.810422 56.49
0.811808 56.6075
0.813194 56.59
0.814583 56.3325
0.815969 56.56
0.817356 56.4225
0.818742 56.31
0.820128 56.67
0.821514 56.43
0.822903 56.7075
0.824289 56.34
0.825675 56.58
0.827061 56.415
0.828447 56.5425
0.829836 56.77
0.831222 56.48
0.832608 56.655
0.833994 56.595
0.835381 56.31
0.836769 56.5225
0.838156 56.6125
0.839542 56.455
0.840928 56.3975
0.842314 56.605
0.843703 56.3175
0.845089 56.565
0.846475 56.7425
0.847861 56.5575
0.849247 56.55
0.850636 56.53
0.852022 56.5225
0.853408 56.475
0.854794 56.6125
0.856181 56.335
0.857569 56.6275
0.858956 56.6825
0.860342 56.515
0.861728 56.565
0.863114 56.47
0.864503 56.49
0.865889 56.34
0.867275 56.4225
0.868661 56.3375
0.870047 56.395
0.871436 56.2575
0.872822 56.5375
0.874208 56.2625
0.875594 56.4725
0.876981 56.4575
0.878369 56.24
0.879756 56.51
0.881142 56.41
0.882528 56.6025
0.883914 56.4825
0.885303 56.565
0.886689 56.5525
0.888075 56.55
0.889461 56.5
0.890847 56.5675
0.892236 56.39
0.893622 56.38
0.895008 56.5125
0.896394 56.32
0.897781 56.5675
0.899169 56.505
0.900556 56.475
0.901942 56.4275
0.903328 56.175
0.904714 56.3675
0.906103 56.205
0.907489 56.395
0.908875 56.5275
0.910261 56.455
0.911647 56.6475
0.913036 56.4475
0.914422 56.3
0.915808 56.2375
0.917194 56.52
0.918581 56.2
0.919969 56.2675
0.921356 56.15
0.922742 56.06
0.924128 56.625
0.925514 56.425
0.926903 56.445
0.928289 56.465
0.929675 56.5325
0.931061 56.3875
0.932447 56.53
0.933836 56.645
0.935222 56.32
0.936608 56.505
0.937994 56.55
0.939381 56.4375
0.940769 56.305
0.942156 56.4325
0.943542 56.1575
0.944928 56.3625
0.946314 56.22
0.947703 56.7725
0.949089 56.56
0.950475 56.515
0.951861 56.5875
0.953247 56.4525
0.954636 56.44
0.956022 56.485
0.957408 56.3525
0.958794 56.52
0.960181 56.37
0.961569 56.2425
0.962956 56.3775
0.964342 56.29
0.965728 56.715
0.967114 56.5
0.968503 56.4275
0.969889 56.315
0.971275 56.42
0.972661 56.225
0.974047 56.3975
0.975436 56.365
0.976822 56.3175
0.978208 56.2075
0.979594 56.3875
0.980981 56.47
0.982369 56.4825
0.983756 56.495
0.985142 56.475
0.986528 56.7475
0.987917 56.525
0.989303 56.1725
0.990689 56.75
0.992075 56.625
0.993461 56.8375
0.994847 56.3075
0.996236 56.4275
0.997622 56.71
0.999008 56.5775
1.00039 56.545
1.00178 56.605
1.00317 56.505
1.00456 56.6325
1.00594 56.6
1.00733 56.505
1.00871 56.755
1.0101 56.5975
1.01149 56.5575
1.01287 56.7175
1.01426 56.67
1.01565 56.7975
1.01704 56.73
1.01842 56.705
1.01981 56.545
1.02119 56.6075
1.02258 56.56
1.02397 56.6725
1.02536 56.69
1.02674 56.7475
1.02813 56.6525
1.02951 56.57
1.0309 56.82
1.03229 56.87
1.03367 56.5
1.03506 56.7375
1.03645 56.7275
1.03784 56.555
1.03922 56.79
1.04061 56.5525
1.04199 56.675
1.04338 56.9575
1.04477 56.7925
1.04616 56.6825
1.04754 56.645
1.04893 56.8475
1.05031 56.675
1.0517 56.82
1.05309 56.7475
1.05447 56.985
1.05586 56.7075
1.05725 56.89
1.05864 56.8925
1.06002 57.055
1.06141 56.95
1.06279 56.9825
1.06418 56.76
1.06557 56.87
1.06696 56.735
1.06834 56.9175
1.06973 56.76
1.07111 56.8925
1.0725 57.01
1.07389 57.0725
1.07527 56.9875
1.07666 57.22
1.07805 56.8875
1.07944 56.77
1.08082 57.1625
1.08221 56.72
1.08359 57.075
1.08498 56.8225
1.08637 56.9125
1.08776 56.91
1.08914 56.96
1.09053 57.015
1.09191 57.1175
1.0933 57.195
1.09469 56.93
1.09608 57.015
1.09746 57.2575
1.09885 56.8175
